id,titlu,valoare,data,tip,firma,cui,ofertanti
achizitie-directa-2025-153608,Produse de curatenie (Rev.2),4117.0,2025-10-24,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-159349,Pneuri pentru autovehicule (Rev.2),2500.0,2025-10-27,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-161218,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2),252500.0,2025-10-27,Achizitie directa,GPK INFRASTRUCTURE DESIGN,40092259,1
achizitie-directa-2025-162579,"Servicii de reparare a pneurilor, inclusiv montare si echilibrare (Rev.2)",1650.0,2025-10-27,Achizitie directa,LUKA NIKAT UTILAJE,36689322,1
achizitie-directa-2025-177252,Servicii de brokeraj de asigurari (Rev.2),3563.12,2025-10-29,Achizitie directa,ZBK BALKAN S.A. BULGARIA SUCURSALA ROMANIA,35779982,1
achizitie-directa-2025-177634,Module solare fotovoltaice (Rev.2),13590.0,2025-10-29,Achizitie directa,PAN-NET,18675647,1
achizitie-directa-2025-186560,Servicii de reparare si de intretinere a echipamentului de stingere a incendiilo,5585.0,2025-10-30,Achizitie directa,PROTECT FIRE CONSULTING,31145826,1
achizitie-directa-2025-189397,Servicii de campanii de publicitate (Rev.2),30000.0,2025-10-31,Achizitie directa,INDOOR MEDIA GROUP,18436062,1
achizitie-directa-2025-190829,Aditivi chimici (Rev.2),507.0,2025-10-31,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-203111,"Studii de fezabilitate, servicii de consultanta, analize (Rev.2)",125000.0,2025-11-03,Achizitie directa,KOMORA ENGINEERING S.R.L.,32815436,1
achizitie-directa-2025-210774,Ornamente (Rev.2),164700.0,2025-11-04,Achizitie directa,SAMTEC MONDO TECHNOLOGY INDUSTRY S.R.L.,49195789,1
achizitie-directa-2025-239349,Monitoare (Rev.2),801.64,2025-11-07,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2025-243238,Computer de birou (Rev.2),2512.4,2025-11-07,Achizitie directa,PROBITZ,13434567,1
achizitie-directa-2025-243281,Cartuse de toner (Rev.2),1568.83,2025-11-07,Achizitie directa,SCHWARZ GRUPPE INT,31055634,1
achizitie-directa-2025-245077,Servicii de certificare a semnaturii electronice (Rev.2),650.0,2025-11-07,Achizitie directa,CENTRUL DE CALCUL,2163993,1
achizitie-directa-2025-245511,"Pregatire de proiecte si proiectare, estimare a costurilor (Rev.2)",246000.0,2025-11-07,Achizitie directa,MIRON COM,5537626,1
achizitie-directa-2025-261331,Sistem de contabilitate (Rev.2),70000.0,2025-11-11,Achizitie directa,SOCIETATEA NATIONALA DE INFORMATICA,1556587,1
achizitie-directa-2025-267214,Supraveghere a lucrarilor de constructii (Rev.2),198000.0,2025-11-11,Achizitie directa,HENTZA CONSULTING,49783681,1
achizitie-directa-2025-267271,Supraveghere a lucrarilor de constructii (Rev.2),49000.0,2025-11-11,Achizitie directa,HENTZA PROPERTIES,49514381,1
achizitie-directa-2025-272443,Unitati de hard disk (Rev.2),511.66,2025-11-12,Achizitie directa,ROSERVOTECH,15857245,1
achizitie-directa-2025-273581,Servicii de brokeraj de asigurari (Rev.2),1667.8,2025-11-12,Achizitie directa,ZBK BALKAN S.A. BULGARIA SUCURSALA ROMANIA,35779982,1
achizitie-directa-2025-277963,Servicii de intretinere a automobilelor (Rev.2),2451.51,2025-11-12,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-278690,Uleiuri pentru motoare (Rev.2),259.5,2025-11-12,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-279339,Servicii de consultanta in protectia contra riscurilor si in controlul riscurilo,8500.0,2025-11-12,Achizitie directa,FOCUS RISK S.R.L.,42708003,1
achizitie-directa-2025-283211,Servicii de proiectare a sistemelor de energie electrica (Rev.2),270000.0,2025-11-13,Achizitie directa,GREEN DEVELOPMENT SOLUTIONS AND MANAGEMENT S.R.L.,28072147,1
achizitie-directa-2025-302080,Servicii de proiectare arhitecturala (Rev.2),270000.0,2025-11-17,Achizitie directa,PANORAMIC CONCEPT CONS,37655409,1
achizitie-directa-2025-305372,Cabine (Rev.2),17500.0,2025-11-17,Achizitie directa,GENERAL UTIL CONS,34772064,1
achizitie-directa-2025-305970,Produse de curatat pentru automobile (Rev.2),750.0,2025-11-17,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-308125,Pneuri pentru autovehicule (Rev.2),3260.0,2025-11-17,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-322421,Dispozitiv de distrugere a documentelor (Rev.2),322.61,2025-11-19,Achizitie directa,DANTE INTERNATIONAL S.A.,14399840,1
achizitie-directa-2025-327460,Sisteme si dispozitive de supraveghere si de securitate (Rev.2),34355.37,2025-11-19,Achizitie directa,OPTIC HOUSE TRANSILVANIA,37951668,1
achizitie-directa-2025-327998,Servicii de reparare si de intretinere a automobilelor (Rev.2),6060.77,2025-11-19,Achizitie directa,TIRIAC AUTO S.R.L.,11331727,1
achizitie-directa-2025-330947,Servicii de reparare si de intretinere a grupurilor de refrigerare (Rev.2),1225.0,2025-11-19,Achizitie directa,CLIMTEH S.R.L.,7742,1
achizitie-directa-2025-332308,Pachete software de proiectare asistata de calculator (CAD) (Rev.2),4957.0,2025-11-19,Achizitie directa,NOICONSTRUIM.RO,16230359,1
achizitie-directa-2025-332784,Servicii de reparare si intretinere (Rev.2),720.0,2025-11-20,Achizitie directa,GDM Repair,47094311,1
achizitie-directa-2025-334204,Servicii de intretinere a automobilelor (Rev.2),3866.9700000000003,2025-11-20,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-335880,Produse de curatenie (Rev.2),4476.0,2025-11-20,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-338767,Servicii de reparare si de intretinere a autovehiculelor si a echipamentelor con,800.0,2025-11-20,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-339083,Uleiuri pentru motoare (Rev.2),1038.0,2025-11-20,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-343387,Piese si accesorii pentru fotocopiatoare (Rev.2),859.0,2025-11-21,Achizitie directa,Modserv Impex,17258404,1
achizitie-directa-2025-349181,Lucrari de montaj (Rev.2),26496.0,2025-11-21,Achizitie directa,NICOLAS CONSTRUCT,24651529,1
achizitie-directa-2025-377611,Pneuri pentru autovehicule (Rev.2),1103.29,2025-11-26,Achizitie directa,TIRES AND PARTS,35056829,1
achizitie-directa-2025-393653,Extinctoare (Rev.2),1043.0,2025-11-27,Achizitie directa,GIMAR STINGSERV,15175418,1
achizitie-directa-2025-411757,Servicii de reparare si de intretinere a automobilelor (Rev.2),1077.23,2025-12-02,Achizitie directa,GI EUROSERVICE,19166285,1
achizitie-directa-2025-420929,Inchiriere de vehicule industriale cu sofer (Rev.2),63008.0,2025-12-02,Achizitie directa,NIPLICAD,26281970,1
achizitie-directa-2025-420997,Inchiriere de vehicule industriale cu sofer (Rev.2),63520.0,2025-12-02,Achizitie directa,Green Space Art,34596758,1
achizitie-directa-2025-422686,Pneuri pentru autovehicule (Rev.2),3900.0,2025-12-03,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-425512,Servicii de asistenta si de consultanta informatica (Rev.2),6042.1,2025-12-03,Achizitie directa,INTEGRISOFT SOLUTIONS,12448483,1
achizitie-directa-2025-426249,Servicii de brokeraj de asigurari (Rev.2),6711.82,2025-12-03,Achizitie directa,ZBK BALKAN S.A. BULGARIA SUCURSALA ROMANIA,35779982,1
achizitie-directa-2025-431623,Sisteme de navigare si de pozitionare globala (GPS sau echivalente) (Rev.2),3188.16,2025-12-03,Achizitie directa,ETA  AUTOMATIZARI INDUSTRIALE  S.R.L,6825562,1
achizitie-directa-2025-433808,Servicii de proiectare a conductelor (Rev.2),75000.0,2025-12-03,Achizitie directa,TOTAL WATER DESIGN,36751076,1
achizitie-directa-2025-433949,Servicii de inspectie si testare tehnica (Rev.2),14300.0,2025-12-03,Achizitie directa,TEHNOSERVICE ACTIV INSTAL,37006983,1
achizitie-directa-2025-437552,Racorduri (Rev.2),1773.5,2025-12-04,Achizitie directa,WINTER COM S.R.L.,7702347,1
achizitie-directa-2025-438971,Servicii de proiectare tehnica pentru infrastructura de transport (Rev.2),265000.0,2025-12-04,Achizitie directa,RALEX PROIECT CONSTRUCT,29101593,1
achizitie-directa-2025-445048,Servicii de certificare a semnaturii electronice (Rev.2),3175.0,2025-12-04,Achizitie directa,CENTRUL DE CALCUL,2163993,1
achizitie-directa-2025-454629,Felicitari (Rev.2),13300.0,2025-12-05,Achizitie directa,INDOOR MEDIA GROUP,18436062,1
achizitie-directa-2025-461546,Servicii de elaborare de studii (Rev.2),30000.0,2025-12-08,Achizitie directa,RHEEA CONSTRUCTION S.R.L.,47379122,1
achizitie-directa-2025-462176,Uleiuri pentru motoare (Rev.2),770.1,2025-12-08,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-463280,Furtunuri (Rev.2),5416.34,2025-12-08,Achizitie directa,APR INOVAFLEX,37215327,1
achizitie-directa-2025-474799,Cartuse de toner (Rev.2),1813.89,2025-12-09,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2025-484219,Dulciuri (Rev.2),8442.0,2025-12-09,Achizitie directa,SELGROS CASH&CARRY SRL,11805367,1
achizitie-directa-2025-484277,Servicii de reparare si de intretinere a vehiculelor si a echipamentelor aferent,3555.25,2025-12-09,Achizitie directa,TITAN MACHINERY ROMANIA,29352595,1
achizitie-directa-2025-485064,Servicii artistice (Rev.2),6000.0,2025-12-10,Achizitie directa,NEWLINE MUSIC S.R.L.,18470480,1
